-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	4	56465	82407	41880	|	0.90564	0.74169	0.50820	0.60314	|	0.90276	0.71185	0.49794	0.58598	|	[4] <= [15, 18, 21, 24], direct
4	4	42684	82407	38442	|	0.91746	0.90061	0.46648	0.61462	|	0.91593	0.87969	0.46064	0.60466	|	[4] <= [15, 18, 21, 24], -iterate/-dimlex
4	5	66475	82407	52293	|	0.92416	0.78665	0.63456	0.70247	|	0.92120	0.76069	0.62675	0.68725	|	[4] <= [12, 18, 21, 24, 27], direct
4	5	53779	82407	49151	|	0.93514	0.91394	0.59644	0.72182	|	0.93335	0.89456	0.59127	0.71196	|	[4] <= [12, 18, 21, 24, 27], -iterate/-dimlex
4	4	71991	82407	54010	|	0.92059	0.75023	0.65540	0.69962	|	0.91763	0.72622	0.64802	0.68490	|	[4] <= [12, 21, 24, 27], direct
4	4	58683	82407	52689	|	0.93885	0.89785	0.63937	0.74688	|	0.93730	0.88236	0.63535	0.73875	|	[4] <= [12, 21, 24, 27], -iterate/-dimlex
4	3	76556	82407	53541	|	0.91117	0.69937	0.64971	0.67362	|	0.90764	0.67242	0.64071	0.65618	|	[4] <= [12, 24, 27], direct
4	3	57897	82407	51059	|	0.93462	0.88189	0.61959	0.72783	|	0.93314	0.86700	0.61557	0.71996	|	[4] <= [12, 24, 27], -iterate/-dimlex
4	2	84604	82407	56089	|	0.90612	0.66295	0.68063	0.67168	|	0.90432	0.65053	0.67650	0.66326	|	[4] <= [12, 27], direct
4	2	64216	82407	54380	|	0.93517	0.84682	0.65989	0.74176	|	0.93382	0.83457	0.65661	0.73497	|	[4] <= [12, 27], -iterate/-dimlex
4	1	61111	82407	48745	|	0.92119	0.79764	0.59151	0.67928	|	0.91975	0.78390	0.58730	0.67151	|	[4] <= [12], direct
4	1	52005	82407	46849	|	0.93029	0.90085	0.56850	0.69709	|	0.92933	0.89004	0.56554	0.69162	|	[4] <= [12], -iterate/-dimlex
4	2	82854	82407	54235	|	0.90277	0.65458	0.65813	0.65635	|	0.89943	0.63106	0.64985	0.64032	|	[4] <= [12, 24], direct
4	2	60167	82407	52127	|	0.93439	0.86637	0.63255	0.73122	|	0.93282	0.85116	0.62842	0.72303	|	[4] <= [12, 24], -iterate/-dimlex
4	3	71011	82407	53867	|	0.92178	0.75857	0.65367	0.70222	|	0.91908	0.73633	0.64690	0.68872	|	[4] <= [12, 21, 27], direct
4	3	57713	82407	52026	|	0.93824	0.90146	0.63132	0.74259	|	0.93659	0.88474	0.62696	0.73387	|	[4] <= [12, 21, 27], -iterate/-dimlex
4	2	74681	82407	54596	|	0.91799	0.73105	0.66251	0.69510	|	0.91550	0.71154	0.65644	0.68288	|	[4] <= [12, 21], direct
4	2	60831	82407	52473	|	0.93444	0.86260	0.63675	0.73266	|	0.93303	0.84913	0.63310	0.72538	|	[4] <= [12, 21], -iterate/-dimlex
4	3	68482	82407	51619	|	0.91841	0.75376	0.62639	0.68419	|	0.91555	0.72934	0.61865	0.66945	|	[4] <= [12, 21, 24], direct
4	3	54782	82407	48844	|	0.93237	0.89160	0.59271	0.71206	|	0.93088	0.87579	0.58839	0.70388	|	[4] <= [12, 21, 24], -iterate/-dimlex
4	4	71376	82407	53065	|	0.91841	0.74345	0.64393	0.69012	|	0.91522	0.71732	0.63569	0.67404	|	[4] <= [12, 18, 24, 27], direct
4	4	55999	82407	50434	|	0.93573	0.90062	0.61201	0.72878	|	0.93410	0.88364	0.60748	0.71998	|	[4] <= [12, 18, 24, 27], -iterate/-dimlex
4	3	71102	82407	53322	|	0.91976	0.74993	0.64705	0.69470	|	0.91720	0.72893	0.64054	0.68188	|	[4] <= [12, 18, 27], direct
4	3	57068	82407	51473	|	0.93746	0.90195	0.62461	0.73809	|	0.93578	0.88480	0.62010	0.72917	|	[4] <= [12, 18, 27], -iterate/-dimlex
4	2	75878	82407	54199	|	0.91459	0.71429	0.65769	0.68482	|	0.91200	0.69441	0.65131	0.67217	|	[4] <= [12, 18], direct
4	2	59332	82407	51810	|	0.93473	0.87322	0.62870	0.73106	|	0.93309	0.85705	0.62433	0.72241	|	[4] <= [12, 18], -iterate/-dimlex
4	3	68588	82407	50937	|	0.91590	0.74265	0.61811	0.67468	|	0.91274	0.71573	0.60936	0.65828	|	[4] <= [12, 18, 24], direct
4	3	52778	82407	47985	|	0.93286	0.90918	0.58229	0.70991	|	0.93105	0.88915	0.57686	0.69974	|	[4] <= [12, 18, 24], -iterate/-dimlex
4	4	70114	82407	54073	|	0.92402	0.77121	0.65616	0.70905	|	0.92130	0.74850	0.64939	0.69543	|	[4] <= [12, 18, 21, 27], direct
4	4	57878	82407	52395	|	0.93923	0.90526	0.63580	0.74697	|	0.93751	0.88798	0.63133	0.73798	|	[4] <= [12, 18, 21, 27], -iterate/-dimlex
4	3	65070	82407	51578	|	0.92411	0.79265	0.62589	0.69947	|	0.92143	0.76858	0.61864	0.68551	|	[4] <= [12, 18, 21], direct
4	3	53093	82407	48592	|	0.93440	0.91522	0.58965	0.71722	|	0.93274	0.89702	0.58479	0.70801	|	[4] <= [12, 18, 21], -iterate/-dimlex
4	4	66796	82407	52105	|	0.92296	0.78006	0.63228	0.69844	|	0.92013	0.75525	0.62474	0.68382	|	[4] <= [12, 18, 21, 24], direct
4	4	54861	82407	50221	|	0.93695	0.91542	0.60942	0.73172	|	0.93539	0.89888	0.60507	0.72328	|	[4] <= [12, 18, 21, 24], -iterate/-dimlex
4	5	64726	82407	50346	|	0.92049	0.77783	0.61094	0.68436	|	0.91784	0.75393	0.60349	0.67038	|	[4] <= [12, 15, 21, 24, 27], direct
4	5	51548	82407	46305	|	0.92921	0.89828	0.56190	0.69135	|	0.92785	0.88290	0.55764	0.68355	|	[4] <= [12, 15, 21, 24, 27], -iterate/-dimlex
4	4	69672	82407	51369	|	0.91552	0.73729	0.62335	0.67555	|	0.91252	0.71215	0.61517	0.66012	|	[4] <= [12, 15, 24, 27], direct
4	4	53756	82407	47617	|	0.92992	0.88579	0.57782	0.69941	|	0.92861	0.87158	0.57387	0.69207	|	[4] <= [12, 15, 24, 27], -iterate/-dimlex
4	3	68959	82407	51587	|	0.91749	0.74808	0.62600	0.68161	|	0.91534	0.72989	0.62022	0.67060	|	[4] <= [12, 15, 27], direct
4	3	55086	82407	49251	|	0.93324	0.89407	0.59765	0.71641	|	0.93211	0.88207	0.59440	0.71021	|	[4] <= [12, 15, 27], -iterate/-dimlex
4	2	74814	82407	53677	|	0.91462	0.71747	0.65136	0.68282	|	0.91269	0.70242	0.64653	0.67332	|	[4] <= [12, 15], direct
4	2	61042	82407	51873	|	0.93202	0.84979	0.62947	0.72322	|	0.93085	0.83861	0.62638	0.71712	|	[4] <= [12, 15], -iterate/-dimlex
4	3	63418	82407	46560	|	0.90976	0.73417	0.56500	0.63857	|	0.90688	0.70760	0.55592	0.62265	|	[4] <= [12, 15, 24], direct
4	3	49208	82407	42975	|	0.92181	0.87333	0.52149	0.65304	|	0.92051	0.85784	0.51703	0.64519	|	[4] <= [12, 15, 24], -iterate/-dimlex
4	4	68705	82407	52640	|	0.92153	0.76617	0.63878	0.69670	|	0.91920	0.74640	0.63272	0.68488	|	[4] <= [12, 15, 21, 27], direct
4	4	56994	82407	50479	|	0.93418	0.88568	0.61255	0.72422	|	0.93289	0.87244	0.60897	0.71727	|	[4] <= [12, 15, 21, 27], -iterate/-dimlex
4	3	60611	82407	46932	|	0.91584	0.77431	0.56951	0.65630	|	0.91364	0.75311	0.56269	0.64412	|	[4] <= [12, 15, 21], direct
4	3	48904	82407	43599	|	0.92447	0.89152	0.52906	0.66405	|	0.92318	0.87604	0.52470	0.65631	|	[4] <= [12, 15, 21], -iterate/-dimlex
4	4	64193	82407	49132	|	0.91724	0.76537	0.59621	0.67028	|	0.91462	0.74152	0.58856	0.65625	|	[4] <= [12, 15, 21, 24], direct
4	4	52381	82407	46664	|	0.92901	0.89085	0.56626	0.69240	|	0.92761	0.87520	0.56190	0.68440	|	[4] <= [12, 15, 21, 24], -iterate/-dimlex
4	5	64194	82407	49832	|	0.91964	0.77627	0.60470	0.67983	|	0.91671	0.74968	0.59634	0.66427	|	[4] <= [12, 15, 18, 24, 27], direct
4	5	51009	82407	45981	|	0.92902	0.90142	0.55797	0.68928	|	0.92759	0.88503	0.55344	0.68102	|	[4] <= [12, 15, 18, 24, 27], -iterate/-dimlex
4	4	68274	82407	51953	|	0.91991	0.76094	0.63044	0.68957	|	0.91748	0.74013	0.62395	0.67710	|	[4] <= [12, 15, 18, 27], direct
4	4	55915	82407	50157	|	0.93492	0.89702	0.60864	0.72522	|	0.93364	0.88366	0.60506	0.71829	|	[4] <= [12, 15, 18, 27], -iterate/-dimlex
4	3	61957	82407	48175	|	0.91779	0.77755	0.58459	0.66741	|	0.91541	0.75512	0.57747	0.65445	|	[4] <= [12, 15, 18], direct
4	3	50434	82407	45773	|	0.92930	0.90758	0.55545	0.68913	|	0.92803	0.89286	0.55141	0.68177	|	[4] <= [12, 15, 18], -iterate/-dimlex
