-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	3	44855	85705	39757	|	0.91309	0.88634	0.46388	0.60902	|	0.91259	0.87979	0.46203	0.60588	|	[4] <= [15, 21, 24], -iterate/-dimlex
4	4	64914	85705	46982	|	0.90354	0.72375	0.54818	0.62385	|	0.90246	0.71397	0.54481	0.61802	|	[4] <= [15, 18, 24, 27], direct
4	4	48123	85705	43476	|	0.92019	0.90343	0.50727	0.64972	|	0.92015	0.90295	0.50714	0.64949	|	[4] <= [15, 18, 24, 27], -iterate/-dimlex
4	3	64168	85705	45288	|	0.89905	0.70577	0.52841	0.60435	|	0.89809	0.69706	0.52532	0.59912	|	[4] <= [15, 18, 27], direct
4	3	46830	85705	41691	|	0.91631	0.89026	0.48644	0.62913	|	0.91629	0.89000	0.48637	0.62900	|	[4] <= [15, 18, 27], -iterate/-dimlex
4	2	50745	85705	36796	|	0.89298	0.72511	0.42933	0.53933	|	0.89232	0.71744	0.42673	0.53515	|	[4] <= [15, 18], direct
4	2	32395	85705	30574	|	0.90304	0.94378	0.35673	0.51776	|	0.90290	0.94131	0.35613	0.51675	|	[4] <= [15, 18], -iterate/-dimlex
4	3	59918	85705	41642	|	0.89387	0.69498	0.48587	0.57191	|	0.89297	0.68622	0.48270	0.56674	|	[4] <= [15, 18, 24], direct
4	3	37266	85705	34613	|	0.90850	0.92880	0.40386	0.56294	|	0.90841	0.92749	0.40352	0.56237	|	[4] <= [15, 18, 24], -iterate/-dimlex
4	4	63608	85705	49130	|	0.91308	0.77238	0.57324	0.65808	|	0.91224	0.76466	0.57078	0.65365	|	[4] <= [15, 18, 21, 27], direct
4	4	50194	85705	45640	|	0.92403	0.90927	0.53252	0.67167	|	0.92402	0.90907	0.53246	0.67157	|	[4] <= [15, 18, 21, 27], -iterate/-dimlex
4	3	60224	85705	44729	|	0.90386	0.74271	0.52189	0.61302	|	0.90297	0.73402	0.51895	0.60803	|	[4] <= [15, 18, 21], direct
4	3	45840	85705	41129	|	0.91609	0.89722	0.47989	0.62532	|	0.91561	0.89112	0.47818	0.62238	|	[4] <= [15, 18, 21], -iterate/-dimlex
4	4	62161	85705	47176	|	0.90889	0.75893	0.55044	0.63809	|	0.90806	0.75111	0.54788	0.63360	|	[4] <= [15, 18, 21, 24], direct
4	4	47835	85705	43617	|	0.92116	0.91182	0.50892	0.65324	|	0.92080	0.90736	0.50769	0.65109	|	[4] <= [15, 18, 21, 24], -iterate/-dimlex
4	5	66155	85705	51276	|	0.91605	0.77508	0.59828	0.67530	|	0.91518	0.76737	0.59588	0.67084	|	[4] <= [12, 18, 21, 24, 27], direct
4	5	52415	85705	48071	|	0.92853	0.91712	0.56088	0.69607	|	0.92851	0.91689	0.56082	0.69596	|	[4] <= [12, 18, 21, 24, 27], -iterate/-dimlex
4	4	70009	85705	51797	|	0.91126	0.73986	0.60436	0.66528	|	0.90988	0.72823	0.60057	0.65826	|	[4] <= [12, 21, 24, 27], direct
4	4	55152	85705	49839	|	0.92989	0.90366	0.58151	0.70765	|	0.92986	0.90335	0.58143	0.70749	|	[4] <= [12, 21, 24, 27], -iterate/-dimlex
4	3	83762	85705	55698	|	0.90113	0.66495	0.64988	0.65733	|	0.89768	0.64072	0.64138	0.64105	|	[4] <= [12, 24, 27], direct
4	3	62411	85705	54413	|	0.93311	0.87184	0.63488	0.73473	|	0.93308	0.87160	0.63482	0.73460	|	[4] <= [12, 24, 27], -iterate/-dimlex
4	2	75122	85705	51862	|	0.90278	0.69037	0.60512	0.64494	|	0.89831	0.65544	0.59265	0.62246	|	[4] <= [12, 27], direct
4	2	54986	85705	48435	|	0.92539	0.88086	0.56513	0.68853	|	0.92514	0.87815	0.56437	0.68713	|	[4] <= [12, 27], -iterate/-dimlex
