15	7	61300	34864	21702	|	0.92609	0.35402	0.62247	0.45135	|	0.91428	0.21647	0.50204	0.30251	|	[15] <= [4, 7, 12, 18, 21, 24, 27], -iterate/-dimlex	th=0.4
18	7	66692	65036	50664	|	0.95797	0.75967	0.77901	0.76922	|	0.92989	0.45501	0.67860	0.54476	|	[18] <= [4, 7, 12, 15, 21, 24, 27], direct	th=0.4
18	7	55062	65036	49766	|	0.97157	0.90381	0.76520	0.82875	|	0.95222	0.64966	0.70083	0.67428	|	[18] <= [4, 7, 12, 15, 21, 24, 27], -iterate/-dimlex	th=0.4
21	7	81565	66915	55778	|	0.95014	0.68384	0.83356	0.75132	|	0.93296	0.52781	0.79447	0.63425	|	[21] <= [4, 7, 12, 15, 18, 24, 27], direct	th=0.4
21	7	74334	66915	55320	|	0.95867	0.74420	0.82672	0.78329	|	0.95159	0.67370	0.81199	0.73641	|	[21] <= [4, 7, 12, 15, 18, 24, 27], -iterate/-dimlex	th=0.4
24	7	65419	73077	37874	|	0.91316	0.57894	0.51827	0.54693	|	0.89552	0.38410	0.41650	0.39965	|	[24] <= [4, 7, 12, 15, 18, 21, 27], direct	th=0.4
24	7	36029	73077	31123	|	0.93515	0.86383	0.42589	0.57050	|	0.92962	0.75294	0.39269	0.51617	|	[24] <= [4, 7, 12, 15, 18, 21, 27], -iterate/-dimlex	th=0.4
27	7	73938	89001	62409	|	0.94518	0.84407	0.70121	0.76604	|	0.92924	0.69410	0.65869	0.67593	|	[27] <= [4, 7, 12, 15, 18, 21, 24], direct	th=0.4
27	7	65455	89001	60695	|	0.95245	0.92727	0.68195	0.78591	|	0.94522	0.85047	0.66291	0.74507	|	[27] <= [4, 7, 12, 15, 18, 21, 24], -iterate/-dimlex	th=0.4
4	7	55936	85705	48962	|	0.92557	0.87532	0.57128	0.69135	|	0.91143	0.72679	0.52526	0.60981	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct	th=0.5
4	7	48169	85705	45835	|	0.92815	0.95154	0.53479	0.68474	|	0.92132	0.86833	0.51197	0.64415	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex	th=0.5
7	7	59842	89781	54730	|	0.94193	0.91457	0.60959	0.73157	|	0.92909	0.76611	0.56672	0.65150	|	[7] <= [4, 12, 15, 18, 21, 24, 27], direct	th=0.5
7	7	50790	89781	49939	|	0.94116	0.98324	0.55623	0.71051	|	0.93577	0.90984	0.53700	0.67538	|	[7] <= [4, 12, 15, 18, 21, 24, 27], -iterate/-dimlex	th=0.5
12	7	67536	84380	62214	|	0.96365	0.92119	0.73730	0.81905	|	0.95965	0.87646	0.72755	0.79509	|	[12] <= [4, 7, 15, 18, 21, 24, 27], direct	th=0.5
12	7	61692	84380	60987	|	0.96813	0.98857	0.72276	0.83502	|	0.96657	0.96941	0.71882	0.82552	|	[12] <= [4, 7, 15, 18, 21, 24, 27], -iterate/-dimlex	th=0.5
15	7	58238	34864	17881	|	0.91967	0.30703	0.51287	0.38411	|	0.90759	0.15889	0.35270	0.21909	|	[15] <= [4, 7, 12, 18, 21, 24, 27], direct	th=0.5
15	7	52528	34864	16321	|	0.92330	0.31071	0.46813	0.37351	|	0.91318	0.17310	0.32902	0.22685	|	[15] <= [4, 7, 12, 18, 21, 24, 27], -iterate/-dimlex	th=0.5
18	7	53882	65036	46115	|	0.96311	0.85585	0.70906	0.77557	|	0.93962	0.54053	0.60618	0.57148	|	[18] <= [4, 7, 12, 15, 21, 24, 27], direct	th=0.5
18	7	47739	65036	45143	|	0.96891	0.94562	0.69412	0.80058	|	0.95267	0.69947	0.62666	0.66107	|	[18] <= [4, 7, 12, 15, 21, 24, 27], -iterate/-dimlex	th=0.5
21	7	68469	66915	50342	|	0.95315	0.73525	0.75232	0.74369	|	0.93935	0.58600	0.70768	0.64112	|	[21] <= [4, 7, 12, 15, 18, 24, 27], direct	th=0.5
21	7	63799	66915	49453	|	0.95705	0.77513	0.73904	0.75665	|	0.95097	0.70458	0.72022	0.71231	|	[21] <= [4, 7, 12, 15, 18, 24, 27], -iterate/-dimlex	th=0.5
24	7	47105	73077	32025	|	0.92232	0.67986	0.43823	0.53294	|	0.91009	0.49232	0.36098	0.41654	|	[24] <= [4, 7, 12, 15, 18, 21, 27], direct	th=0.5
24	7	29260	73077	25790	|	0.92976	0.88140	0.35291	0.50402	|	0.92660	0.80348	0.33207	0.46993	|	[24] <= [4, 7, 12, 15, 18, 21, 27], -iterate/-dimlex	th=0.5
27	7	60503	89001	54861	|	0.94279	0.90674	0.61640	0.73390	|	0.93135	0.77528	0.57876	0.66276	|	[27] <= [4, 7, 12, 15, 18, 21, 24], direct	th=0.5
27	7	53502	89001	51033	|	0.94185	0.95385	0.57339	0.71623	|	0.93575	0.87462	0.55206	0.67687	|	[27] <= [4, 7, 12, 15, 18, 21, 24], -iterate/-dimlex	th=0.5
4	7	47766	85705	42978	|	0.91910	0.89976	0.50146	0.64400	|	0.90722	0.75361	0.45725	0.56916	|	[4] <= [7, 12, 15, 18, 21, 24, 27], direct	th=0.6
4	7	40105	85705	39245	|	0.91944	0.97855	0.45790	0.62387	|	0.91373	0.89495	0.43583	0.58619	|	[4] <= [7, 12, 15, 18, 21, 24, 27], -iterate/-dimlex	th=0.6
7	7	52815	89781	48946	|	0.93536	0.92674	0.54517	0.68649	|	0.92447	0.78405	0.50349	0.61320	|	[7] <= [4, 12, 15, 18, 21, 24, 27], direct	th=0.6
7	7	44326	89781	44079	|	0.93356	0.99442	0.49096	0.65737	|	0.92966	0.93344	0.47516	0.62975	|	[7] <= [4, 12, 15, 18, 21, 24, 27], -iterate/-dimlex	th=0.6
12	7	60384	84380	56479	|	0.95794	0.93533	0.66934	0.78029	|	0.95458	0.89329	0.65908	0.75852	|	[12] <= [4, 7, 15, 18, 21, 24, 27], direct	th=0.6
12	7	55231	84380	54752	|	0.96019	0.99132	0.64887	0.78435	|	0.95879	0.97222	0.64442	0.77509	|	[12] <= [4, 7, 15, 18, 21, 24, 27], -iterate/-dimlex	th=0.6
15	7	52345	34864	14755	|	0.91917	0.28187	0.42321	0.33838	|	0.90875	0.13976	0.26676	0.18342	|	[15] <= [4, 7, 12, 18, 21, 24, 27], direct	th=0.6
15	7	47071	34864	13147	|	0.92205	0.27930	0.37709	0.32091	|	0.91354	0.15019	0.24559	0.18640	|	[15] <= [4, 7, 12, 18, 21, 24, 27], -iterate/-dimlex	th=0.6
18	7	47596	65036	42294	|	0.96123	0.88860	0.65031	0.75101	|	0.94103	0.58149	0.54893	0.56475	|	[18] <= [4, 7, 12, 15, 21, 24, 27], direct	th=0.6
18	7	42465	65036	41306	|	0.96559	0.97270	0.63512	0.76847	|	0.95211	0.74308	0.57076	0.64562	|	[18] <= [4, 7, 12, 15, 21, 24, 27], -iterate/-dimlex	th=0.6
21	7	62099	66915	46688	|	0.95188	0.75183	0.69772	0.72376	|	0.93952	0.60442	0.64981	0.62629	|	[21] <= [4, 7, 12, 15, 18, 24, 27], direct	th=0.6
21	7	54853	66915	42460	|	0.95025	0.77406	0.63453	0.69739	|	0.94503	0.70364	0.61214	0.65471	|	[21] <= [4, 7, 12, 15, 18, 24, 27], -iterate/-dimlex	th=0.6
24	7	41064	73077	28956	|	0.92218	0.70514	0.39623	0.50737	|	0.91170	0.52067	0.32641	0.40127	|	[24] <= [4, 7, 12, 15, 18, 21, 27], direct	th=0.6
24	7	25913	73077	22846	|	0.92624	0.88164	0.31262	0.46158	|	0.92444	0.83151	0.30018	0.44112	|	[24] <= [4, 7, 12, 15, 18, 21, 27], -iterate/-dimlex	th=0.6
27	7	52971	89001	48883	|	0.93643	0.92282	0.54924	0.68862	|	0.92713	0.80068	0.51390	0.62601	|	[27] <= [4, 7, 12, 15, 18, 21, 24], direct	th=0.6
