-e	-p	predicted_dm	gold_dm	tp	|	acc_dm	p_dm	r_dm	f_dm	|	acc_r	p_r	r_r	f_r	|	conf
4	3	896	5023	634	|	0.91078	0.70758	0.12621	0.21422	|	0.90633	0.44866	0.08390	0.14137	|	[4] <= [24, 30, 33], -iterate/-dimlex
4	4	3082	5023	1062	|	0.88526	0.34458	0.21142	0.26206	|	0.87815	0.22420	0.14853	0.17869	|	[4] <= [24, 27, 33, 36], direct
4	4	1093	5023	788	|	0.91291	0.72095	0.15687	0.25768	|	0.90796	0.48490	0.11122	0.18094	|	[4] <= [24, 27, 33, 36], -iterate/-dimlex
4	3	2801	5023	882	|	0.88375	0.31488	0.17559	0.22546	|	0.87598	0.17029	0.10329	0.12858	|	[4] <= [24, 27, 36], direct
4	3	854	5023	585	|	0.90970	0.68501	0.11646	0.19908	|	0.90456	0.37119	0.06666	0.11303	|	[4] <= [24, 27, 36], -iterate/-dimlex
4	2	5067	5023	1126	|	0.84964	0.22222	0.22416	0.22319	|	0.84030	0.12611	0.14087	0.13308	|	[4] <= [24, 27], direct
4	2	1115	5023	710	|	0.90949	0.63677	0.14134	0.23134	|	0.90356	0.35964	0.08506	0.13758	|	[4] <= [24, 27], -iterate/-dimlex
4	3	2577	5023	816	|	0.88551	0.31664	0.16245	0.21473	|	0.87986	0.20217	0.11019	0.14264	|	[4] <= [24, 27, 33], direct
4	3	769	5023	529	|	0.90919	0.68790	0.10531	0.18266	|	0.90498	0.40312	0.06452	0.11125	|	[4] <= [24, 27, 33], -iterate/-dimlex
4	4	3148	5023	1091	|	0.88511	0.34656	0.21720	0.26704	|	0.87782	0.22585	0.15313	0.18251	|	[4] <= [24, 27, 30, 36], direct
4	4	1065	5023	787	|	0.91341	0.73896	0.15667	0.25854	|	0.90834	0.49107	0.10989	0.17960	|	[4] <= [24, 27, 30, 36], -iterate/-dimlex
4	3	2705	5023	869	|	0.88509	0.32125	0.17300	0.22489	|	0.87874	0.19889	0.11466	0.14546	|	[4] <= [24, 27, 30], direct
4	3	799	5023	547	|	0.90930	0.68460	0.10889	0.18790	|	0.90443	0.36670	0.06143	0.10524	|	[4] <= [24, 27, 30], -iterate/-dimlex
4	4	2991	5023	1037	|	0.88605	0.34670	0.20645	0.25879	|	0.87986	0.23871	0.15191	0.18567	|	[4] <= [24, 27, 30, 33], direct
